Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
AstraZeneca,N/A (no overtime/salaried),Cancer immunology,2023-03-29,Have not been long enough to have an annual yearly raise,6% 401(k) match,"Aetna HSA, HDHP, PPO options",5000+,Public,118800.0,4000,United States,"Washington, DC",None,,15%,Pharmaceutical (including “big pharma”),Sr. Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2023,Baltimore/D.C./Maryland,22,2442.5
Prefer not to say,N/A (no overtime/salaried),,2023-03-29,Company/Institution does not have annual yearly raise,401K match,Healthcare,1-50,Private,150000.0,0,United States,New Jersey,None,Idiosyncratic,Not Applicable/None,Pharmaceutical (including “big pharma”),Vice President ,16,PhD or Equivalent,"","","","","","","","","","","",2023,New Jersey,21,2464.0
WuXi,1.5x base,Oversee GMP manufacturing and provide some support from within the cleanroom. Basically inbetween a lab tech and a supervisor/manager ,2023-03-29,3%,,,200-1000,Public,72800.0,0,United States,Philadelphia,None,It sucks! They underpay compared to their peers in the area and they don’t treat their employees very well. If I cared about myself enough I would’ve quit here a while ago. They are also doing a lot of poor restructuring at the moment and making everything worse. Avoid!,Not Applicable/None,Pharmaceutical (including “big pharma”),Senior Manufacturing Associate,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Merck,N/A (no overtime/salaried),Technical Operations - SME,2023-03-29,4.5% inflation adjustment,match 75% of up to 6%,,5000+,Public,96000.0,5000,United States,Philadelphia,None,,8% of base,Pharmaceutical (including “big pharma”),"Specialist, Engineering",3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Prefer not to say,$125 per 4 hours,QA-Data Review,2023-03-29,4%,,,200-1000,Private,45000.0,0,United States,St. Louis,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Scientist 1,2,Masters or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),"New scientist, develop new methods for drug delivery",2023-03-29,Have not been long enough to have an annual yearly raise,,,50-200,Start-up,127500.0,0,United States,Boston,None,,12750,Pharmaceutical (including “big pharma”),Scientist I,0,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Immunitybio ,N/A (no overtime/salaried),Quality Systems ,2023-03-29,2%,3% match 401k,"Anthem PPO & HMO, Lincoln Dental and Vision",200-1000,Public,76400.0,0,United States,Los Angeles,None,"Depends on the team. The people on the QS team are all pretty cool. There was a lot of support and opportunities for development. Right now most of the teams are super lean and it’s a lot of work. Not much room to explore other departments which is what I wanted when I joined. 
People in MFG and QC get promoted super fast. ",3%,Pharmaceutical (including “big pharma”),Sr. Associate,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Los Angeles,39,2412.0
Pfizer,N/A (no overtime/salaried),Discovery,2023-03-30,5,"3 percent 1:1,  1.5 percent  2:1",2k/ year childcare ,5000+,Public,102000.0,0,United States,Boston,None,Pretty good work environment in my department if your in the right group ,7700,Pharmaceutical (including “big pharma”),Scientist,5,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Bausch Health Companies,N/A (no overtime/salaried),Scientist II- Analytical Development,2023-03-30,3.50%,"100% match up to 3%, 50% match up to 6% (total 4.5% match on 6%)",,5000+,Public,120000.0,0,United States,Bay Area,None,,8400,Pharmaceutical (including “big pharma”),Scientist II,2,PhD or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Bio marker scientist ,2023-03-30,4,401k match up to 4%,,200-1000,Public,120000.0,0,United states,Bay area,None,,16000,Pharmaceutical (including “big pharma”),Associate scientist ,6,Masters or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Business Development Director- Support partnering of assets,2023-04-01,4%,401k 3%,No insurance premium cost,1-50,Private,124000.0,0,United States,Pittsburgh,None,,$110000 (commission based role not a typo),Pharmaceutical (including “big pharma”),Director,2,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2023,Pittsburgh,3,2583.5
Pfizer,N/A (no overtime/salaried),"Sr. Validation Engineer, qualify equipment, utilities, computer systems, no direct reports. ",2023-04-02,6,"10.5% (4.5% matching, 6% annual lump sum).",,5000+,Public,100000.0,10000,United States,Research Triangle,None,,10000,Pharmaceutical (including “big pharma”),Sr. Validation Engineer,6,Bachelors or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-03,Have not been long enough to have an annual yearly raise,401k 4% match ,"PPO or high deductible, matching HSA contributions + $500 over the year, mental health resources / specialized care",5000+,Private,71500.0,0,United States,Research Triangle,None,,Depends on performance ,Pharmaceutical (including “big pharma”),Associate Scientist ,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-03,8.7,0,Standard health and dental,1-50,Start-up,54350.0,0,United States,Syracuse,None,Bad,Not Applicable/None,Pharmaceutical (including “big pharma”),Laboratory technician,6,Masters or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2023-04-04,Company/Institution does not have annual yearly raise,,,1-50,Start-up,94500.0,0,United States,Boston,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Senior Research Associate,2,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Sanofi,N/A (no overtime/salaried),CMC,2023-04-04,4%,,,5000+,Public,88900.0,0,United States,Boston,None,:( not having fun,8800,Pharmaceutical (including “big pharma”),Senior Research Associate,2,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-06,3.05%,4% Match with 5% investment,HSA,1000-5000,Private,108000.0,0,United States,Research Triangle,None,,10% of salary,Pharmaceutical (including “big pharma”),Scientist II,3,PhD or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-07,5,4% match ,,200-1000,Public,150000.0,15000,United States,Boston,None,,18000,Pharmaceutical (including “big pharma”),Scientist I,2,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-07,5,401k match and additional yearly 401k deposit,Several options. ,5000+,Public,130000.0,10000,United States,Chicago,None,,20000,Pharmaceutical (including “big pharma”),Principal Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2023,Chicago,20,2484.5
Alnylam,N/A (no overtime/salaried),,2023-04-08,Have not been long enough to have an annual yearly raise,401K match 8%,,1000-5000,Public,120000.0,15000,United States,Boston,None,Great work culture ,15,Pharmaceutical (including “big pharma”),Scientist ,1,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,Comp time,Pilot-scale clinical manufacturing ,2023-04-10,4.5,,,5000+,Public,93000.0,0,United States,Philadelphia,None,,9300,Pharmaceutical (including “big pharma”),Specialist,6,Bachelors or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-11,4%,Competitive boston biotech package. 50% 401k matching,,200-1000,Private,312000.0,30000,United states,"Cambridge, MA",None,,30%,Pharmaceutical (including “big pharma”),VP,20,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-12,2,10% 401k match,,5000+,Public,197750.0,0,United States,Los Angeles,None,,50000,Pharmaceutical (including “big pharma”),Principal scientist ,20,Masters or Equivalent,"","","","","","","","","","","",2023,Los Angeles,39,2412.0
Prefer not to say,N/A (no overtime/salaried),Dmpk,2023-04-12,3.5,4% 401k match,Full,5000+,Public,164000.0,10000,United States,San Diego,None,,32800,Pharmaceutical (including “big pharma”),Senior Scientist,3,PhD or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),"Scientist - independently conducts R&D experiments to improve drug discovery platform, runs platform, and tests hits with downstream assays as part of tiny team of 1-3 people",2023-04-12,Company/Institution does not have annual yearly raise,401k matches 4%,None,1-50,Private,90000.0,0,United States,New York,None,"Work itself has been excellent learning experience, probably accelerating my experience gained beyond the actual years. Management is disappointing as far as making employees happy with compensation/benefits. Management prefers cheapness over all when it comes to labor (preference is for fresh grads, non-phd). Management doesn’t wish to grow internal team and doesn’t want experienced voices to affect direction of company.",9000,Pharmaceutical (including “big pharma”),Scientist,7,Masters or Equivalent,"","","","","","","","","","","",2023,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),"R&D, manage several RAs",2023-04-18,2,,,5000+,Public,138000.0,0,United States,Bay Area,None,,28000,Pharmaceutical (including “big pharma”),Scientist,15,Bachelors or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Manage CDMOs,2023-04-18,4,,,200-1000,Public,197000.0,15000,United States,Boston,None,,45000,Pharmaceutical (including “big pharma”),Director,7,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-04-19,4.5,"401k match 4.5%, pension, health",,5000+,Public,172370.0,0,United States,San Diego,None,,34474,Pharmaceutical (including “big pharma”),Principal Scientist,22,Bachelors or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Takeda,1.5x base,Drug Substance Purification ,2023-04-21,3,4% match,,5000+,Public,52000.0,0,United States,Los Angeles,None,,4200,Pharmaceutical (including “big pharma”),Manufacturing Associate ,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Los Angeles,39,2412.0
Novartis,N/A (no overtime/salaried),This position is 1-2 levels above the title of a fresh PhD grad. So it is equivalent to a senior or even principal scientist in other companies.,2023-04-24,4,,,5000+,Public,166400.0,0,United States,Boston,None,,24960,Pharmaceutical (including “big pharma”),"Senior Expert I, Data Science",5,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Discovery Biology with dual role project management/bench science,2023-04-26,3%,,,5000+,Public,125000.0,0,United States,Boston,None,,10000,Pharmaceutical (including “big pharma”),Scientist,8,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Amgen,1.5,MFG intern in process development,2023-04-27,Have not been long enough to have an annual yearly raise,,,5000+,Public,58864.0,1500,United States,Boston,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Intern,0,Associate’s Degree or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Moderna,N/A (no overtime/salaried),Sr associate scientist in QC,2023-04-29,Have not been long enough to have an annual yearly raise,6% match,,1000-5000,Public,95000.0,20000,United States,Boston,None,,10%,Pharmaceutical (including “big pharma”),Sr. Associate ,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Machine Learning Scientist,2023-05-05,Have not been long enough to have an annual yearly raise,,,1-50,Private,155000.0,15000,United States,Boston,None,,15500,Pharmaceutical (including “big pharma”),Scientist I,0,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-05-06,2,100% match up to 4%,,200-1000,Private,84000.0,5000,United States,Seattle,None,"IMO, CROs require harder work for less pay compared to pharma/biotech. However, this comes with the benefit of job security and exposure to many new skills.",Not Applicable/None,Pharmaceutical (including “big pharma”),Scientist I,2,PhD or Equivalent,"","","","","","","","","","","",2023,Seattle,56,2316.5
Roivant Sciences,N/A (no overtime/salaried),Data/Software Engineer,2023-05-06,2500,401k match up to 9500,"Health, dental, vision insurance. HSA contribution match up to 1200.",50-200,Public,107000.0,10000,United States,New York City,None,,17500,Pharmaceutical (including “big pharma”),Rotational Tech Analyst,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,New York,48,2368.5
Large CDMO,N/A (no overtime/salaried),Senior Director Operations,2023-05-08,Have not been long enough to have an annual yearly raise,6%,$170 biweekly family of 3,1000-5000,Private,230000.0,0,United States,Research Triangle,None,,25,Pharmaceutical (including “big pharma”),Senior Director Operations,12,PhD or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),Immunology - In vitro and ex vivo based assays to test safety of developing drug. Flow cytometry panel development for bio markers. ,2023-05-11,Have not been long enough to have an annual yearly raise,None.,"HMO Kaiser, total out of pocket: $2500",1-50,Start-up,80000.0,0,United States,Bay Area,None,,6400,Pharmaceutical (including “big pharma”),Research Associate I,0,Bachelors or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
AstraZeneca,"1.5x first 10, 2.0x over 10",,2023-05-15,"4%, recent starter so not unreasonable",6% 401k match,"Aetna Health Insurance, HSA available (700 a yr?)",5000+,Private,70700.0,0,United States,"Washington, DC",None,,8% Base w/ company multiplier (13-14% past two years),Pharmaceutical (including “big pharma”),Associate Scientist,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Baltimore/D.C./Maryland,22,2442.5
Eurofins,1.5x base,,2023-05-15,Have not been long enough to have an annual yearly raise,,,5000+,Public,29000.0,1000,United States,Philadelphia,None,1/10,Not Applicable/None,Pharmaceutical (including “big pharma”),Lab Technician,1,Associate’s Degree or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Prefer not to say,1.5x,Perform routine lab tasks and manage programs to monitor quality of mfg operations,2023-05-17,Have not been long enough to have an annual yearly raise,401k match 4%,,200-1000,Private,75000.0,0,United States,Seattle,None,,3%,Pharmaceutical (including “big pharma”),QC Associate II,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Seattle,56,2316.5
Prefer not to say,N/A (no overtime/salaried),Toxicology Program Rep,2023-05-19,4,4.50%,,1000-5000,Private,199500.0,75000,United States,Boston / Remote,DABT,,"40,000",Pharmaceutical (including “big pharma”),Associate Director,7,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),AD CSC - manage commercial launches and ongoing supply chain,2023-05-20,Have not been long enough to have an annual yearly raise,401k match 4.5%,,1000-5000,Public,175000.0,0,United States,Boston,"CSCP, CLTD ",,"31,500",Pharmaceutical (including “big pharma”),Associate Director,14,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
GSK,N/A (no overtime/salaried),,2023-05-23,Have not been long enough to have an annual yearly raise,7% then $1:$1 for next four totaling 15%,,5000+,Public,77000.0,3000,United States,Boston,None,,6160,Pharmaceutical (including “big pharma”),Assoicate Scientist,0,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Manage QC lab support for solid dose drug product. 2 reports.,2023-05-25,Have not been long enough to have an annual yearly raise,401k match 4%,,1000-5000,Public,84000.0,0,United States,Research Triangle,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Principal Scientist,9,Bachelors or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2023-05-26,Have not been long enough to have an annual yearly raise,,>$100/year own contribution,50-200,Start-up,128000.0,5000,United States,Boston,None,,12800,Pharmaceutical (including “big pharma”),Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
BridgeBio,N/A (no overtime/salaried),,2023-06-07,5,5% 401k match,"No deductible and no premium on insurance for employee or family, including domestic partners. ",200-1000,Public,91500.0,0,United States,Research Triangle,None,"I really like working here. Our site is very isolated from the rest of the company in SF, so we tend to not get bogged down in company politics. We have a lot of autonomy and independence, and very little pressure. My management is really good. I generally work 32 hours a week. ",9150,Pharmaceutical (including “big pharma”),Associate Scientist II,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
BioAgilytix Labs,1.5x base,Within the PK/ADA/NAb analysis team. Run MSD-ECL and ELISA based assays daily in support of validation and sample testing. ,2023-06-13,4%,"401k offers 100% match up to 3% of salary, after that they match 50% up to 5% of salary. ",High deductible plan with HSA (with HSA match deductible is $2500 per year) or PPO. ,200-1000,Private,84000.0,0,United States,Boston,None,"The experience can vary greatly from team to team. Overall benefits are ok, but you miss out on what larger public companies can offer. CRO industry is highly revenue focused, so workload can be demanding otherwise no money is coming in. The Boston site seems to perform well compared to other locations, is small, and has a lot of talent; but, the company doesn’t want to compete to keep that talent around. ",10%,Pharmaceutical (including “big pharma”),Analyst II,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Oncology Companion Diagnostics,2023-06-20,Have not been long enough to have an annual yearly raise,8700,,5000+,Public,155000.0,10000,United States,Bay Area,PMP,,17400,Pharmaceutical (including “big pharma”),Staff Program Manager,7,Bachelors or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Sr. Scientist -Assay and Technology Development,2023-06-24,3,401k match 4%,"90% Covered, FSA, no HSA",50-200,Start-up,129000.0,0,United States,San Diego,None,,25800,Pharmaceutical (including “big pharma”),Sr. Scientist,8,Bachelors or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2023-06-27,4%,,,1000-5000,Public,156000.0,0,United States,Boston,None,,27000,Pharmaceutical (including “big pharma”),Sr Project Manager,9,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Takeda,N/A (no overtime/salaried),,2023-06-30,5,4% match and non elective 2.5% yearly contribution ,,5000+,Public,84000.0,5000,United States,Boston,None,Very positive ,8,Pharmaceutical (including “big pharma”),Research Associate II,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-07-02,Have not been long enough to have an annual yearly raise,9% match,,5000+,Public,164000.0,10000,United States,San Francisco,None,,15%,Pharmaceutical (including “big pharma”),Research Scientist I,0,PhD or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Takeda,1.5x base,,2023-07-02,3,401k 4% match,"Aetna - $54/mo, HSA optional",5000+,Public,58000.0,0,United States,Minneapolis,None,"Good work/life balance, benefits, and people",4640,Pharmaceutical (including “big pharma”),Manufacturing Associate I,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Minneapolis,5,2569.0
Prefer not to say,N/A (no overtime/salaried),Manage health economics and outcomes research budget for key launch-phase asset. ,2023-07-02,Have not been long enough to have an annual yearly raise,,,5000+,Private,195000.0,20000,United States,NJ,None,,39000,Pharmaceutical (including “big pharma”),"Associate Director, HEOR",6,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2023,New Jersey,21,2464.0
Prefer not to say,N/A (no overtime/salaried),,2023-07-04,Have not been long enough to have an annual yearly raise,100%,,5000+,Public,240000.0,0,United States,Bay Area,None,,48000,Pharmaceutical (including “big pharma”),Senior Counsel,14,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Validation for commercial mfg equipment for advanced therapies,2023-07-08,5%,5% matching 401k,,200-1000,Private,75000.0,0,United States,Research Triangle,None,9/10,20000,Pharmaceutical (including “big pharma”),Project engineer II,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),Routine QC testing,2023-07-09,1,401k 4% @ 100%,HSA - Company adds $400. Premiums $1508/yr,5000+,Public,64500.0,0,United States,Kansas City,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Senior Associate Scientist I,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Kite Pharma,N/A (no overtime/salaried),Analytical Development,2023-07-10,11,"100% match up to $15,000",Full benefits,50-200,Public,105000.0,5000,United States,Los Angeles,None,High paced but lots of room to make an impression and get recognized,15000,Pharmaceutical (including “big pharma”),Sr. Research Associate,2,Masters or Equivalent,"","","","","","","","","","","",2023,Los Angeles,39,2412.0
Sanofi,N/A (no overtime/salaried),Drug Product Gene Therapy Formulations,2023-07-10,Have not been long enough to have an annual yearly raise,150% of 6% 401k Match (aka 9% 401k match),Horizon Blue Cross Blue Shield,5000+,Public,93000.0,5000,United States,Boston,None,,9300,Pharmaceutical (including “big pharma”),Senior Research Associate,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-07-17,3,,,5000+,Public,255000.0,50000,United States,Boston,None,,59000,Pharmaceutical (including “big pharma”),Director,14,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Cytiva,N/A (no overtime/salaried),,2023-07-18,4,4%,,5000+,Public,100000.0,0,United States,Boston,None,,50000,Pharmaceutical (including “big pharma”),Filtration Sales Specialist,3,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Screening and MOA studies ,2023-07-18,"$1,000",No matching ,Good benefits,50-200,Public,87500.0,0,United States,Bay Area,None,2/5,10%,Pharmaceutical (including “big pharma”),Research associate ,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Conduct biochemical assays in lead discovery team ,2023-07-19,Have not been long enough to have an annual yearly raise,4% company 401k match kicks in after 1 year,Medical/vision/dental premiums fully covered by employer,50-200,Public,107500.0,5000,United States,Bay Area,None,,17500,Pharmaceutical (including “big pharma”),Senior Research Associate,0,Masters or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),Research Associate I - Analytical Development,2023-07-20,Have not been long enough to have an annual yearly raise,,,50-200,Start-up,60000.0,0,United States,San Antonio,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate I,1,Masters or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Merck/MSD,N/A (no overtime/salaried),,2023-07-21,Have not been long enough to have an annual yearly raise,"401k 75% at up to 6%, pension",BCBS,5000+,Public,95000.0,5000,United States,New York,None,,10%,Pharmaceutical (including “big pharma”),Clinical Scientist ,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),Scientist - wet lab R&D antibody discovery,2023-07-26,Have not been long enough to have an annual yearly raise,No retirement,"Full premiums covered for employee, not covered for family",1-50,Start-up,120000.0,12500,United States,Boston,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),In vitro DMPK ,2023-07-26,3%,401k up to 5% match,,5000+,Public,130000.0,0,United States,San Diego,None,,10%,Pharmaceutical (including “big pharma”),Scientist I ,14,Bachelors or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Bristol Myers Squibb,N/A (no overtime/salaried),Bench Scientist ,2023-07-29,3,5% 401k match,,5000+,Public,150000.0,0,United States,Boston,None,This place is a shit show. The research I did at Novartis was better. ,16%,Pharmaceutical (including “big pharma”),Principal Scientist,18,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-07-31,5%,40% match,Good,1000-5000,Private,64000.0,0,United states,Research Triangle,None,,20%,Pharmaceutical (including “big pharma”),Research Associate I,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Prefer not to say,N/A (no overtime/salaried),,2023-08-01,3%,3% match,"Free healthcare, dental, vision. ",50-200,Public,130000.0,0,United States,Boston,None,,19500,Pharmaceutical (including “big pharma”),Sr. Process engineer ,10,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),"Scientist - Nanoparticle Fabrication; LNP testing and immune assays, manage several projects in cell and mouse models, and oversee 1-2 associate scientists",2023-08-14,Have not been long enough to have an annual yearly raise,401k match at 6% dollar-for-dollar,full health insurance for self and opt-in for spouse/family; full vision and dental insurance; $500k life insurance policy,50-200,Public,95000.0,0,United States,Research Triangle,None,Too early to tell yet,8% bonus,Pharmaceutical (including “big pharma”),Scientist,2,PhD or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Sanofi,N/A (no overtime/salaried),,2023-08-18,3,401k match 150% match up to 6%,,5000+,Public,70000.0,5000,United States,Boston,None,,7000,Pharmaceutical (including “big pharma”),Research associate,0,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Charles River Labs,1.5x,Analyze biological samples using protein precipitation and LCMS to analyze new drugs for sponsors.,2023-08-21,Have not been long enough to have an annual yearly raise,401k match 6%,,5000+,Public,50000.0,0,United States,Boston,None,Negative experience overall.,2000,Pharmaceutical (including “big pharma”),Associate Scientist I/Chemist I,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),Bioinformatics,2023-08-22,Have not been long enough to have an annual yearly raise,No 401k match yet,,50-200,Start-up,115000.0,5000,United States,Boston,None,,11000,Pharmaceutical (including “big pharma”),Associate Scientist,4,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),drug product and process development ,2023-08-23,Have not been long enough to have an annual yearly raise,,,5000+,Public,143000.0,25000,United States,Philadelphia,None,,23000,Pharmaceutical (including “big pharma”),Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Prefer not to say,N/A (no overtime/salaried),,2023-08-25,5%,,,50-200,Subsidiary,140000.0,0,United States,Bay Area,None,,10%,Pharmaceutical (including “big pharma”),scientist II,4,PhD or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),,2023-08-25,5%,,,50-200,Subsidiary,140000.0,0,United States,Bay Area,None,,10%,Pharmaceutical (including “big pharma”),scientist II,4,PhD or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Prefer not to say,N/A (no overtime/salaried),,2023-08-26,8%,,,50-200,Private,120000.0,0,United States,Philadelphia,None,,10000,Pharmaceutical (including “big pharma”),Automation Engineer,5,Bachelors or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
